id,Date,vdc,scantime,starttime
9327079,"2022-05-18 00:45:59",408.059,2994151.157,"2022-04-13 08:56:11"
9327080,"2022-05-18 00:46:09",407.975,2994161.158,"2022-04-13 08:56:11"
9327081,"2022-05-18 00:46:18",408.057,2994169.157,"2022-04-13 08:56:11"
9327082,"2022-05-18 00:46:29",408.147,2994181.157,"2022-04-13 08:56:11"
9327083,"2022-05-18 00:46:39",408.021,2994191.157,"2022-04-13 08:56:11"
9327084,"2022-05-18 00:46:49",408.053,2994199.159,"2022-04-13 08:56:11"
9327085,"2022-05-18 00:46:59",408.07,2994211.157,"2022-04-13 08:56:11"
9327086,"2022-05-18 00:47:09",408.045,2994221.157,"2022-04-13 08:56:11"
9327087,"2022-05-18 00:47:19",408.073,2994229.157,"2022-04-13 08:56:11"
9327088,"2022-05-18 00:47:29",408.018,2994241.157,"2022-04-13 08:56:11"
9327089,"2022-05-18 00:47:39",408.065,2994251.157,"2022-04-13 08:56:11"
9327090,"2022-05-18 00:47:49",408.078,2994259.157,"2022-04-13 08:56:11"
9327091,"2022-05-18 00:47:59",408.086,2994271.156,"2022-04-13 08:56:11"
9327092,"2022-05-18 00:48:09",408.122,2994281.157,"2022-04-13 08:56:11"
9327093,"2022-05-18 00:48:20",408.095,2994291.157,"2022-04-13 08:56:11"
9327094,"2022-05-18 00:48:30",408.155,2994301.157,"2022-04-13 08:56:11"
9327095,"2022-05-18 00:48:40",408.122,2994313.158,"2022-04-13 08:56:11"
9327096,"2022-05-18 00:48:49",408.09,2994319.157,"2022-04-13 08:56:11"
9327097,"2022-05-18 00:49:00",408.076,2994331.157,"2022-04-13 08:56:11"
9327098,"2022-05-18 00:49:09",408.102,2994341.157,"2022-04-13 08:56:11"
9327099,"2022-05-18 00:49:20",408.014,2994351.157,"2022-04-13 08:56:11"
9327100,"2022-05-18 00:49:30",408.062,2994361.157,"2022-04-13 08:56:11"
9327101,"2022-05-18 00:49:39",408.133,2994371.157,"2022-04-13 08:56:11"
9327102,"2022-05-18 00:49:50",408.117,2994381.157,"2022-04-13 08:56:11"
9327103,"2022-05-18 00:50:01",408.157,2994391.157,"2022-04-13 08:56:11"
9327104,"2022-05-18 00:50:09",408.055,2994401.157,"2022-04-13 08:56:11"
9327105,"2022-05-18 00:50:20",408.116,2994413.159,"2022-04-13 08:56:11"
9327106,"2022-05-18 00:50:30",408.029,2994421.156,"2022-04-13 08:56:11"
9327107,"2022-05-18 00:50:40",408.141,2994433.158,"2022-04-13 08:56:11"
9327108,"2022-05-18 00:50:50",408.083,2994443.158,"2022-04-13 08:56:11"
9327109,"2022-05-18 00:51:00",408.041,2994451.157,"2022-04-13 08:56:11"
9327110,"2022-05-18 00:51:10",408.064,2994463.157,"2022-04-13 08:56:11"
9327111,"2022-05-18 00:51:20",408.202,2994473.157,"2022-04-13 08:56:11"
9327112,"2022-05-18 00:51:30",408.088,2994481.157,"2022-04-13 08:56:11"
9327113,"2022-05-18 00:51:41",408.05,2994493.157,"2022-04-13 08:56:11"
9327114,"2022-05-18 00:51:51",407.984,2994503.158,"2022-04-13 08:56:11"
9327115,"2022-05-18 00:52:00",408.077,2994511.157,"2022-04-13 08:56:11"
9327116,"2022-05-18 00:52:11",408.029,2994523.158,"2022-04-13 08:56:11"
9327117,"2022-05-18 00:52:20",408.041,2994533.158,"2022-04-13 08:56:11"
9327118,"2022-05-18 00:52:30",408.048,2994541.157,"2022-04-13 08:56:11"
9327119,"2022-05-18 00:52:40",408.034,2994553.157,"2022-04-13 08:56:11"
9327120,"2022-05-18 00:52:51",407.958,2994563.158,"2022-04-13 08:56:11"
9327121,"2022-05-18 00:53:01",408.007,2994571.157,"2022-04-13 08:56:11"
9327122,"2022-05-18 00:53:11",408.053,2994583.157,"2022-04-13 08:56:11"
9327123,"2022-05-18 00:53:20",408.078,2994593.157,"2022-04-13 08:56:11"
9327124,"2022-05-18 00:53:30",408.086,2994601.157,"2022-04-13 08:56:11"
9327125,"2022-05-18 00:53:40",408.116,2994613.157,"2022-04-13 08:56:11"
9327126,"2022-05-18 00:53:51",407.967,2994623.158,"2022-04-13 08:56:11"
9327127,"2022-05-18 00:54:01",407.97,2994631.157,"2022-04-13 08:56:11"
